year,week,score
2022,1,45
2022,2,44
2022,3,52
2022,4,41
2022,5,100
2022,6,38
2022,7,37
2022,8,53
2022,9,68
2022,10,55
2022,11,68
2022,12,70
2022,13,56
2022,14,45
2022,15,58
2022,16,47
2022,17,62
2022,18,48
2022,19,45
2022,20,61
2022,21,69
2022,22,49
2022,23,61
2022,24,51
2022,25,86
2022,26,51
2022,27,37
2022,28,45
2022,29,39
2022,30,42
2022,31,37
2022,32,65
2022,33,56
2022,34,36
2022,35,46
2022,36,48
2022,37,66
2022,38,46
2022,39,34
2022,40,33
2022,41,49
2022,42,55
2022,43,33
2022,44,44
2022,45,42
2022,46,46
2022,47,43
2022,48,38
2022,49,33
2022,50,47
2022,51,37
2022,52,49
