year,week,score
2019,1,44
2019,2,41
2019,3,43
2019,4,48
2019,5,53
2019,6,59
2019,7,62
2019,8,56
2019,9,47
2019,10,46
2019,11,52
2019,12,44
2019,13,53
2019,14,41
2019,15,48
2019,16,77
2019,17,80
2019,18,51
2019,19,63
2019,20,61
2019,21,88
2019,22,78
2019,23,77
2019,24,50
2019,25,62
2019,26,85
2019,27,81
2019,28,77
2019,29,78
2019,30,71
2019,31,83
2019,32,100
2019,33,90
2019,34,63
2019,35,58
2019,36,64
2019,37,56
2019,38,56
2019,39,57
2019,40,59
2019,41,77
2019,42,64
2019,43,53
2019,44,48
2019,45,51
2019,46,58
2019,47,58
2019,48,45
2019,49,55
2019,50,58
2019,51,60
2019,52,74
