year,week,ghb,cocaine,xtc
2018,1,18,92,34
2018,2,13,85,42
2018,3,10,75,59
2018,4,10,76,49
2018,5,9,73,46
2018,6,12,87,51
2018,7,11,65,50
2018,8,9,81,51
2018,9,10,73,45
2018,10,12,84,46
2018,11,11,73,47
2018,12,10,91,59
2018,13,10,94,65
2018,14,12,62,41
2018,15,10,69,52
2018,16,12,76,84
2018,17,15,79,66
2018,18,17,79,55
2018,19,10,66,57
2018,20,11,71,77
2018,21,8,62,65
2018,22,13,73,89
2018,23,8,74,67
2018,24,10,76,56
2018,25,9,96,57
2018,26,9,71,71
2018,27,10,71,66
2018,28,11,81,74
2018,29,13,96,60
2018,30,9,82,81
2018,31,12,77,84
2018,32,12,88,78
2018,33,9,71,80
2018,34,13,89,72
2018,35,11,100,59
2018,36,13,76,64
2018,37,11,90,47
2018,38,10,80,48
2018,39,9,76,46
2018,40,11,84,60
2018,41,11,93,89
2018,42,13,89,100
2018,43,14,83,61
2018,44,36,93,55
2018,45,17,89,50
2018,46,40,87,61
2018,47,100,84,68
2018,48,87,80,67
2018,49,81,91,59
2018,50,79,89,96
2018,51,43,86,77
2018,52,28,84,92
2019,1,48,76,43
2019,2,50,62,40
2019,3,31,65,42
2019,4,29,57,51
2019,5,35,61,53
2019,6,35,85,52
2019,7,29,68,62
2019,8,31,56,51
2019,9,32,64,46
2019,10,35,53,43
2019,11,25,65,46
2019,12,31,71,43
2019,13,21,92,51
2019,14,25,61,40
2019,15,23,57,49
2019,16,27,60,75
2019,17,27,65,77
2019,18,24,46,54
2019,19,29,67,65
2019,20,30,63,62
2019,21,39,56,85
2019,22,39,61,77
2019,23,38,77,79
2019,24,100,62,49
2019,25,51,52,62
2019,26,35,48,83
2019,27,32,68,75
2019,28,41,100,72
2019,29,42,60,76
2019,30,37,67,72
2019,31,43,59,79
2019,32,44,61,100
2019,33,67,60,90
2019,34,38,61,61
2019,35,38,66,58
2019,36,60,51,62
2019,37,41,79,56
2019,38,31,79,59
2019,39,32,67,53
2019,40,37,54,55
2019,41,39,77,77
2019,42,29,59,64
2019,43,30,51,52
2019,44,34,58,46
2019,45,29,78,51
2019,46,33,77,54
2019,47,30,58,55
2019,48,32,62,42
2019,49,28,80,51
2019,50,38,66,60
2019,51,26,66,58
2019,52,39,74,72
2020,1,61,60,50
2020,2,58,71,47
2020,3,45,67,56
2020,4,43,70,57
2020,5,55,61,61
2020,6,47,51,60
2020,7,100,75,66
2020,8,59,60,62
2020,9,40,58,66
2020,10,55,88,48
2020,11,51,52,42
2020,12,39,62,35
2020,13,32,52,45
2020,14,42,63,41
2020,15,40,77,44
2020,16,35,55,45
2020,17,49,49,58
2020,18,44,84,53
2020,19,44,47,44
2020,20,41,72,49
2020,21,47,55,45
2020,22,43,62,42
2020,23,43,67,48
2020,24,37,53,45
2020,25,30,56,33
2020,26,36,66,49
2020,27,52,66,55
2020,28,47,65,51
2020,29,40,65,50
2020,30,32,62,43
2020,31,39,54,46
2020,32,41,100,52
2020,33,29,57,40
2020,34,32,64,47
2020,35,45,63,38
2020,36,40,53,44
2020,37,42,54,42
2020,38,37,55,40
2020,39,39,61,37
2020,40,38,65,37
2020,41,37,48,42
