year,week_number,0
2010,1,20.0
2010,2,20.0
2010,3,20.0
2010,4,40.0
2010,5,20.0
2010,6,40.0
2010,7,40.0
2010,9,20.0
2010,10,100.0
2010,13,20.0
2010,15,20.0
2010,16,20.0
2010,17,40.0
2010,18,20.0
2010,19,20.0
2010,20,20.0
2010,22,40.0
2010,24,20.0
2010,25,40.0
2010,26,40.0
2010,28,20.0
2010,29,20.0
2010,32,20.0
2010,33,20.0
2010,34,40.0
2010,35,60.0
2010,36,40.0
2010,37,60.0
2010,40,40.0
2010,41,20.0
2010,44,20.0
2010,46,40.0
2010,47,60.0
2010,48,20.0
2010,52,20.0
2011,2,20.0
2011,3,40.0
2011,4,20.0
2011,5,60.0
2011,6,40.0
2011,7,20.0
2011,8,40.0
2011,10,40.0
2011,13,20.0
2011,14,80.0
2011,15,20.0
2011,16,40.0
2011,18,60.0
2011,19,60.0
2011,21,20.0
2011,22,20.0
2011,24,60.0
2011,28,60.0
2011,29,40.0
2011,30,60.0
2011,31,100.0
2011,32,20.0
2011,33,60.0
2011,35,20.0
2011,37,40.0
2011,38,20.0
2011,40,20.0
2011,41,20.0
2011,43,60.0
2011,44,40.0
2011,45,40.0
2011,46,40.0
2011,47,20.0
2011,48,40.0
2011,49,20.0
2011,52,40.0
2012,1,33.33333333333333
2012,3,33.33333333333333
2012,4,16.666666666666664
2012,5,33.33333333333333
2012,6,33.33333333333333
2012,7,16.666666666666664
2012,8,50.0
2012,9,16.666666666666664
2012,10,66.66666666666666
2012,11,50.0
2012,12,33.33333333333333
2012,13,33.33333333333333
2012,14,50.0
2012,15,33.33333333333333
2012,16,33.33333333333333
2012,17,50.0
2012,18,16.666666666666664
2012,19,50.0
2012,23,83.33333333333333
2012,24,16.666666666666664
2012,25,16.666666666666664
2012,28,83.33333333333333
2012,29,16.666666666666664
2012,30,33.33333333333333
2012,31,16.666666666666664
2012,32,50.0
2012,33,16.666666666666664
2012,34,83.33333333333333
2012,35,50.0
2012,36,50.0
2012,37,50.0
2012,38,33.33333333333333
2012,39,33.33333333333333
2012,40,16.666666666666664
2012,41,33.33333333333333
2012,42,50.0
2012,43,33.33333333333333
2012,44,50.0
2012,45,33.33333333333333
2012,46,66.66666666666666
2012,47,100.0
2012,48,50.0
2012,49,66.66666666666666
2012,50,33.33333333333333
2012,51,33.33333333333333
