year,week_number,0
2010,4,100.0
2010,6,50.0
2010,9,100.0
2010,18,50.0
2010,22,50.0
2010,33,50.0
2010,38,50.0
2010,41,50.0
2010,45,50.0
2010,47,50.0
2010,48,50.0
2011,3,33.333333333333336
2011,10,33.333333333333336
2011,12,33.333333333333336
2011,13,33.333333333333336
2011,14,100.0
2011,23,33.333333333333336
2011,32,66.66666666666667
2011,36,33.333333333333336
2011,40,33.333333333333336
2011,41,66.66666666666667
2011,46,66.66666666666667
2011,52,66.66666666666667
2012,5,75.0
2012,11,25.0
2012,16,75.0
2012,18,25.0
2012,23,50.0
2012,24,25.0
2012,25,50.0
2012,28,50.0
2012,29,25.0
2012,30,25.0
2012,38,25.0
2012,41,50.0
2012,45,25.0
2012,49,25.0
2012,51,100.0
2012,52,25.0
2013,1,25.0
2013,2,25.0
2013,6,25.0
2013,9,25.0
2013,12,50.0
2013,15,50.0
2013,18,25.0
2013,21,25.0
2013,23,75.0
2013,24,25.0
2013,29,25.0
2013,34,100.0
2013,35,50.0
2013,36,50.0
2013,40,50.0
2013,45,75.0
2013,46,25.0
2013,49,25.0
2013,50,50.0
2014,2,75.0
2014,3,75.0
2014,4,50.0
2014,5,25.0
2014,7,25.0
2014,8,25.0
2014,10,25.0
2014,15,50.0
2014,16,25.0
2014,17,50.0
2014,18,100.0
2014,19,25.0
2014,23,25.0
2014,25,25.0
2014,26,50.0
2014,27,25.0
2014,28,25.0
2014,29,50.0
2014,30,25.0
2014,32,25.0
2014,33,25.0
2014,35,25.0
2014,36,50.0
2014,39,50.0
2014,40,75.0
2014,43,100.0
2014,44,25.0
2014,45,25.0
2014,47,25.0
2014,48,50.0
2014,51,25.0
2015,3,100.0
2015,4,28.571428571428577
2015,5,14.285714285714288
2015,6,28.571428571428577
2015,8,14.285714285714288
2015,9,28.571428571428577
2015,10,28.571428571428577
2015,20,14.285714285714288
2015,22,71.42857142857143
2015,23,14.285714285714288
2015,26,14.285714285714288
2015,27,28.571428571428577
2015,28,28.571428571428577
2015,29,28.571428571428577
2015,30,14.285714285714288
2015,33,14.285714285714288
2015,35,28.571428571428577
2015,36,14.285714285714288
2015,39,28.571428571428577
2015,40,42.857142857142854
2015,41,42.857142857142854
2015,42,57.14285714285715
2015,43,14.285714285714288
2015,44,14.285714285714288
2015,45,28.571428571428577
2015,48,42.857142857142854
2015,49,14.285714285714288
2015,50,28.571428571428577
2015,53,28.571428571428577
2016,1,42.85714285714286
2016,2,42.85714285714286
2016,3,57.14285714285715
2016,4,28.571428571428577
2016,5,14.285714285714288
2016,6,14.285714285714288
2016,8,14.285714285714288
2016,9,14.285714285714288
2016,11,28.571428571428577
2016,13,14.285714285714288
2016,14,100.0
2016,15,28.571428571428577
2016,16,28.571428571428577
2016,18,14.285714285714288
2016,19,14.285714285714288
2016,20,71.42857142857143
2016,22,28.571428571428577
2016,24,28.571428571428577
2016,25,28.571428571428577
2016,26,42.85714285714286
2016,27,28.571428571428577
2016,28,28.571428571428577
2016,30,28.571428571428577
2016,31,14.285714285714288
2016,33,14.285714285714288
2016,35,42.85714285714286
2016,36,42.85714285714286
2016,37,28.571428571428577
2016,42,14.285714285714288
2016,44,14.285714285714288
2016,45,14.285714285714288
2016,47,14.285714285714288
2016,48,42.85714285714286
2016,49,14.285714285714288
2016,50,14.285714285714288
2016,52,14.285714285714288
2016,53,14.285714285714288
2017,1,25.0
2017,2,50.0
2017,4,50.0
2017,6,25.0
2017,7,25.0
2017,8,50.0
2017,9,50.0
2017,12,25.0
2017,13,50.0
2017,14,50.0
2017,15,74.99999999999999
2017,16,25.0
2017,17,74.99999999999999
2017,18,25.0
2017,19,25.0
2017,23,50.0
2017,24,25.0
2017,25,50.0
2017,27,100.0
2017,28,25.0
2017,29,74.99999999999999
2017,31,25.0
2017,32,50.0
2017,33,25.0
2017,38,25.0
2017,39,25.0
2017,42,25.0
2017,43,50.0
2017,44,25.0
2017,45,50.0
2017,47,25.0
2017,48,74.99999999999999
2017,50,50.0
2017,51,50.0
2018,1,25.0
2018,2,50.0
2018,4,50.0
2018,5,75.0
2018,7,75.0
2018,9,25.0
2018,11,75.0
2018,13,25.0
2018,15,100.0
2018,16,50.0
2018,17,25.0
2018,19,25.0
2018,20,75.0
2018,22,25.0
2018,24,25.0
2018,25,25.0
2018,31,50.0
2018,32,25.0
2018,34,75.0
2018,36,25.0
2018,37,50.0
2018,39,25.0
2018,40,25.0
2018,41,50.0
2018,43,25.0
2018,44,75.0
2018,45,75.0
2018,46,50.0
2018,47,25.0
2018,48,50.0
2018,49,75.0
2018,50,25.0
2018,51,75.0
2019,2,20.0
2019,3,40.0
2019,7,60.0
2019,9,20.0
2019,11,60.0
2019,12,40.0
2019,16,20.0
2019,17,60.0
2019,20,40.0
2019,21,20.0
2019,23,20.0
2019,25,20.0
2019,26,20.0
2019,27,60.0
2019,28,20.0
2019,29,40.0
2019,30,60.0
2019,31,40.0
2019,33,100.0
2019,34,60.0
2019,35,20.0
2019,37,40.0
2019,38,40.0
2019,39,60.0
2019,41,40.0
2019,44,40.0
2019,45,60.0
2019,47,40.0
2019,49,20.0
2019,50,40.0
2019,51,40.0
2020,4,40.0
2020,5,20.0
2020,6,20.0
2020,7,40.0
2020,8,60.0
2020,9,60.0
2020,11,40.0
2020,13,60.0
2020,16,20.0
2020,17,20.0
2020,18,20.0
2020,21,100.0
2020,22,20.0
2020,23,20.0
2020,26,20.0
2020,27,80.0
2020,29,20.0
2020,30,20.0
2020,38,40.0
2020,40,20.0
2020,41,20.0
2020,42,20.0
2020,45,20.0
2020,46,40.0
2020,49,40.0
2020,50,20.0
2021,2,66.66666666666666
2021,3,100.0
2021,8,33.33333333333333
2021,9,66.66666666666666
2021,10,33.33333333333333
2021,21,66.66666666666666
2021,22,33.33333333333333
2021,23,33.33333333333333
2021,34,33.33333333333333
2021,35,33.33333333333333
2021,37,33.33333333333333
2021,38,33.33333333333333
2021,39,33.33333333333333
2021,43,33.33333333333333
2021,47,33.33333333333333
2021,50,33.33333333333333
2021,52,33.33333333333333
2022,3,50.0
2022,7,50.0
2022,11,50.0
2022,14,50.0
2022,18,50.0
2022,25,100.0
2022,44,50.0
