year,week_number,content
2010,1,1
2010,2,1
2010,3,1
2010,4,2
2010,5,1
2010,6,2
2010,7,2
2010,9,1
2010,10,5
2010,13,1
2010,15,1
2010,16,1
2010,17,2
2010,18,1
2010,19,1
2010,20,1
2010,22,2
2010,24,1
2010,25,2
2010,26,2
2010,28,1
2010,29,1
2010,32,1
2010,33,1
2010,34,2
2010,35,3
2010,36,2
2010,37,3
2010,40,2
2010,41,1
2010,44,1
2010,46,2
2010,47,3
2010,48,1
2010,52,1
2011,2,1
2011,3,2
2011,4,1
2011,5,3
2011,6,2
2011,7,1
2011,8,2
2011,10,2
2011,13,1
2011,14,4
2011,15,1
2011,16,2
2011,18,3
2011,19,3
2011,21,1
2011,22,1
2011,24,3
2011,28,3
2011,29,2
2011,30,3
2011,31,5
2011,32,1
2011,33,3
2011,35,1
2011,37,2
2011,38,1
2011,40,1
2011,41,1
2011,43,3
2011,44,2
2011,45,2
2011,46,2
2011,47,1
2011,48,2
2011,49,1
2011,52,2
2012,1,2
2012,3,2
2012,4,1
2012,5,2
2012,6,2
2012,7,1
2012,8,3
2012,9,1
2012,10,4
2012,11,3
2012,12,2
2012,13,2
2012,14,3
2012,15,2
2012,16,2
2012,17,3
2012,18,1
2012,19,3
2012,23,5
2012,24,1
2012,25,1
2012,28,5
2012,29,1
2012,30,2
2012,31,1
2012,32,3
2012,33,1
2012,34,5
2012,35,3
2012,36,3
2012,37,3
2012,38,2
2012,39,2
2012,40,1
2012,41,2
2012,42,3
2012,43,2
2012,44,3
2012,45,2
2012,46,4
2012,47,6
2012,48,3
2012,49,4
2012,50,2
2012,51,2
2012,52,1
2013,1,1
2013,2,3
2013,3,1
2013,4,2
2013,5,2
2013,6,2
2013,7,1
2013,8,4
2013,9,1
2013,10,1
2013,11,2
2013,12,1
2013,13,1
2013,16,2
2013,17,2
2013,18,2
2013,19,2
2013,20,2
2013,22,2
2013,23,5
2013,24,1
2013,25,4
2013,26,1
2013,27,2
2013,28,3
2013,29,1
2013,30,1
2013,31,1
2013,32,1
2013,33,1
2013,35,3
2013,37,2
2013,38,5
2013,39,2
2013,40,2
2013,41,1
2013,42,3
2013,43,1
2013,44,3
2013,45,6
2013,46,4
2013,47,1
2013,48,2
2013,49,5
2013,51,2
2013,52,3
2014,1,3
2014,2,2
2014,3,5
2014,4,1
2014,7,4
2014,8,1
2014,9,1
2014,10,2
2014,11,1
2014,12,5
2014,13,2
2014,14,2
2014,15,4
2014,17,4
2014,18,2
2014,19,2
2014,21,1
2014,22,1
2014,23,3
2014,24,1
2014,25,2
2014,26,4
2014,29,1
2014,31,2
2014,33,2
2014,34,2
2014,35,3
2014,36,5
2014,37,2
2014,39,2
2014,40,1
2014,41,1
2014,42,1
2014,46,2
2014,47,1
2014,48,4
2014,49,3
2014,50,3
2014,52,3
2015,2,1
2015,3,3
2015,4,1
2015,5,5
2015,6,2
2015,9,1
2015,10,2
2015,11,1
2015,12,1
2015,13,3
2015,14,1
2015,15,3
2015,16,3
2015,17,3
2015,18,3
2015,19,2
2015,20,3
2015,21,3
2015,22,4
2015,23,1
2015,24,4
2015,25,4
2015,27,1
2015,28,2
2015,29,1
2015,30,2
2015,31,1
2015,32,1
2015,33,2
2015,34,3
2015,35,3
2015,37,1
2015,38,1
2015,39,3
2015,40,6
2015,41,1
2015,42,1
2015,43,4
2015,44,2
2015,45,3
2015,46,5
2015,47,2
2015,48,1
2015,49,6
2015,50,5
2015,51,1
2015,52,2
2015,53,5
2016,1,5
2016,2,4
2016,3,3
2016,4,3
2016,5,1
2016,6,2
2016,7,2
2016,8,3
2016,9,1
2016,10,5
2016,11,2
2016,12,3
2016,13,1
2016,15,3
2016,16,5
2016,17,4
2016,18,3
2016,19,1
2016,20,6
2016,21,1
2016,22,7
2016,23,2
2016,24,3
2016,25,1
2016,26,6
2016,27,4
2016,28,3
2016,29,2
2016,30,1
2016,31,2
2016,32,2
2016,33,5
2016,35,3
2016,36,1
2016,37,4
2016,38,2
2016,39,2
2016,41,1
2016,42,4
2016,43,1
2016,44,2
2016,45,1
2016,46,1
2016,48,6
2016,49,4
2016,50,5
2016,51,6
2016,52,2
2017,1,3
2017,2,2
2017,3,2
2017,4,9
2017,5,2
2017,6,2
2017,7,2
2017,8,1
2017,9,1
2017,10,2
2017,11,3
2017,12,5
2017,13,1
2017,14,2
2017,15,2
2017,16,2
2017,17,6
2017,18,1
2017,19,4
2017,20,3
2017,21,2
2017,22,3
2017,23,5
