year,week_number,content
2010,4,2
2010,6,1
2010,9,2
2010,18,1
2010,22,1
2010,33,1
2010,38,1
2010,41,1
2010,45,1
2010,47,1
2010,48,1
2011,3,1
2011,10,1
2011,12,1
2011,13,1
2011,14,3
2011,23,1
2011,32,2
2011,36,1
2011,40,1
2011,41,2
2011,46,2
2011,52,2
2012,5,3
2012,11,1
2012,16,3
2012,18,1
2012,23,2
2012,24,1
2012,25,2
2012,28,2
2012,29,1
2012,30,1
2012,38,1
2012,41,2
2012,45,1
2012,49,1
2012,51,4
2012,52,1
2013,1,1
2013,2,1
2013,6,1
2013,9,1
2013,12,2
2013,15,2
2013,18,1
2013,21,1
2013,23,3
2013,24,1
2013,29,1
2013,34,4
2013,35,2
2013,36,2
2013,40,2
2013,45,3
2013,46,1
2013,49,1
2013,50,2
2014,2,3
2014,3,3
2014,4,2
2014,5,1
2014,7,1
2014,8,1
2014,10,1
2014,15,2
2014,16,1
2014,17,2
2014,18,4
2014,19,1
2014,23,1
2014,25,1
2014,26,2
2014,27,1
2014,28,1
2014,29,2
2014,30,1
2014,32,1
2014,33,1
2014,35,1
2014,36,2
2014,39,2
2014,40,3
2014,43,4
2014,44,1
2014,45,1
2014,47,1
2014,48,2
2014,51,1
2015,3,7
2015,4,2
2015,5,1
2015,6,2
2015,8,1
2015,9,2
2015,10,2
2015,20,1
2015,22,5
2015,23,1
2015,26,1
2015,27,2
2015,28,2
2015,29,2
2015,30,1
2015,33,1
2015,35,2
2015,36,1
2015,39,2
2015,40,3
2015,41,3
2015,42,4
2015,43,1
2015,44,1
2015,45,2
2015,48,3
2015,49,1
2015,50,2
2015,53,2
2016,1,3
2016,2,3
2016,3,4
2016,4,2
2016,5,1
2016,6,1
2016,8,1
2016,9,1
2016,11,2
2016,13,1
2016,14,7
2016,15,2
2016,16,2
2016,18,1
2016,19,1
2016,20,5
2016,22,2
2016,24,2
2016,25,2
2016,26,3
2016,27,2
2016,28,2
2016,30,2
2016,31,1
2016,33,1
2016,35,3
2016,36,3
2016,37,2
2016,42,1
2016,44,1
2016,45,1
2016,47,1
2016,48,3
2016,49,1
2016,50,1
2016,52,1
2016,53,1
2017,1,1
2017,2,2
2017,4,2
2017,6,1
2017,7,1
2017,8,2
2017,9,2
2017,12,1
2017,13,2
2017,14,2
2017,15,3
2017,16,1
2017,17,3
2017,18,1
2017,19,1
2017,23,2
2017,24,1
2017,25,2
2017,27,4
2017,28,1
2017,29,3
2017,31,1
2017,32,2
2017,33,1
2017,38,1
2017,39,1
2017,42,1
2017,43,2
2017,44,1
2017,45,2
2017,47,1
2017,48,3
2017,50,2
2017,51,2
2018,1,1
2018,2,2
2018,4,2
2018,5,3
2018,7,3
2018,9,1
2018,11,3
2018,13,1
2018,15,4
2018,16,2
2018,17,1
2018,19,1
2018,20,3
2018,22,1
2018,24,1
2018,25,1
2018,31,2
2018,32,1
2018,34,3
2018,36,1
2018,37,2
2018,39,1
2018,40,1
2018,41,2
2018,43,1
2018,44,3
2018,45,3
2018,46,2
2018,47,1
2018,48,2
2018,49,3
2018,50,1
2018,51,3
2019,2,1
2019,3,2
2019,7,3
2019,9,1
2019,11,3
2019,12,2
2019,16,1
2019,17,3
2019,20,2
2019,21,1
2019,23,1
2019,25,1
2019,26,1
2019,27,3
2019,28,1
2019,29,2
2019,30,3
2019,31,2
2019,33,5
2019,34,3
2019,35,1
2019,37,2
2019,38,2
2019,39,3
2019,41,2
2019,44,2
2019,45,3
2019,47,2
2019,49,1
2019,50,2
2019,51,2
2020,4,2
2020,5,1
2020,6,1
2020,7,2
2020,8,3
2020,9,3
2020,11,2
2020,13,3
2020,16,1
2020,17,1
2020,18,1
2020,21,5
2020,22,1
2020,23,1
2020,26,1
2020,27,4
2020,29,1
2020,30,1
2020,38,2
2020,40,1
2020,41,1
2020,42,1
2020,45,1
2020,46,2
2020,49,2
2020,50,1
2021,2,2
2021,3,3
2021,8,1
2021,9,2
2021,10,1
2021,21,2
2021,22,1
2021,23,1
2021,34,1
2021,35,1
2021,37,1
2021,38,1
2021,39,1
2021,43,1
2021,47,1
2021,50,1
2021,52,1
2022,3,1
2022,7,1
2022,11,1
2022,14,1
2022,18,1
2022,25,2
2022,44,1
