year,week_number,0
2010,21,33.33333333333333
2010,33,100.0
2010,34,33.33333333333333
2010,43,33.33333333333333
2011,5,50.0
2011,10,50.0
2011,25,100.0
2011,32,50.0
2011,36,50.0
2012,1,100.0
2012,12,100.0
2012,13,100.0
2012,19,100.0
2012,28,100.0
2012,36,100.0
2012,49,100.0
2012,51,100.0
2013,2,50.0
2013,35,50.0
2013,36,100.0
2013,45,50.0
2013,48,50.0
2013,50,50.0
2014,8,50.0
2014,15,100.0
2014,17,50.0
2014,33,50.0
2014,38,50.0
2014,43,50.0
2014,52,50.0
2015,29,50.0
2015,34,50.0
2015,44,50.0
2015,47,50.0
2015,50,50.0
2015,53,100.0
2016,4,100.0
2016,19,100.0
2016,22,100.0
2016,28,100.0
2016,47,100.0
2016,48,100.0
2017,2,50.0
2017,5,50.0
2017,18,50.0
2017,20,50.0
2017,23,100.0
2017,24,50.0
2017,26,50.0
2017,29,50.0
2017,47,50.0
2018,20,50.0
2018,27,50.0
2018,40,50.0
2018,45,100.0
2019,3,100.0
2019,14,100.0
2019,25,100.0
2019,30,100.0
2019,32,100.0
2019,41,100.0
2019,45,100.0
2020,2,50.0
2020,3,50.0
2020,4,100.0
2020,5,50.0
2020,7,50.0
2020,8,50.0
2020,13,50.0
2020,46,50.0
2020,47,50.0
2020,51,50.0
2021,1,100.0
2021,12,100.0
2021,24,100.0
2021,29,100.0
2021,37,100.0
2021,49,100.0
2022,9,50.0
2022,13,100.0
2022,17,50.0
2022,19,100.0
2022,21,50.0
2022,25,100.0
