Year,week,Tweet
2013,0,41
2013,1,97
2013,2,89
2013,3,279
2013,4,154
2013,5,90
2013,6,171
2013,7,50
2013,8,84
2013,9,75
2013,10,98
2013,11,344
2013,12,69
2013,13,67
2013,14,61
2013,15,35
2013,16,66
2013,17,52
2013,18,45
2013,19,102
2013,20,95
2013,21,43
2013,22,82
2013,23,99
2013,24,76
2013,25,69
2013,26,130
2013,27,186
2013,28,205
2013,29,97
2013,30,135
2013,31,137
2013,32,139
2013,33,88
2013,34,62
2013,35,134
2013,36,62
2013,37,32
2013,38,100
2013,39,33
2013,40,70
2013,41,69
2013,42,109
2013,43,181
2013,44,119
2013,45,401
2013,46,88
2013,47,189
2013,48,93
2013,49,202
2013,50,109
2013,51,36
2013,52,14
2014,0,17
2014,1,48
2014,2,103
2014,3,37
2014,4,51
2014,5,46
2014,6,25
2014,7,24
2014,8,76
2014,9,33
2014,10,96
2014,11,53
2014,12,23
2014,13,33
2014,14,345
2014,15,51
2014,16,73
2014,17,200
2014,18,121
2014,19,43
2014,20,22
2014,21,56
2014,22,44
2014,23,48
2014,24,46
2014,25,44
2014,26,36
2014,27,60
2014,28,102
2014,29,33
2014,30,64
2014,31,50
2014,32,41
2014,33,75
2014,34,68
2014,35,35
2014,36,35
2014,37,133
2014,38,82
2014,39,31
2014,40,37
2014,41,97
2014,42,83
2014,43,76
2014,44,93
2014,45,105
2014,46,145
2014,47,38
2014,48,84
2014,49,24
2014,50,34
2014,51,26
2014,52,10
2015,0,38
2015,1,76
2015,2,58
2015,3,71
2015,4,30
2015,5,58
2015,6,33
2015,7,45
2015,8,87
2015,9,94
2015,10,36
2015,11,80
2015,12,529
2015,13,56
2015,14,49
2015,15,95
2015,16,39
2015,17,48
2015,18,84
2015,19,66
2015,20,72
2015,21,37
2015,22,53
2015,23,68
2015,24,119
2015,25,46
2015,26,64
2015,27,30
2015,28,71
2015,29,73
2015,30,53
2015,31,46
2015,32,112
2015,33,39
2015,34,99
2015,35,32
2015,36,28
2015,37,83
2015,38,39
2015,39,23
2015,40,24
2015,41,35
2015,42,30
2015,43,31
2015,44,50
2015,45,44
2015,46,32
2015,47,27
2015,48,52
2015,49,26
2015,50,29
2015,51,45
2015,52,31
2016,0,4
2016,1,118
2016,2,35
2016,3,26
2016,4,264
2016,5,41
2016,6,35
2016,7,47
2016,8,25
2016,9,18
2016,10,59
2016,11,101
2016,12,37
2016,13,54
2016,14,88
2016,15,22
2016,16,125
2016,17,34
2016,18,18
2016,19,20
2016,20,35
2016,21,17
2016,22,38
2016,23,18
2016,24,31
2016,25,42
2016,26,22
2016,27,35
2016,28,40
2016,29,57
2016,30,26
2016,31,29
2016,32,41
2016,33,29
2016,34,37
2016,35,18
2016,36,34
2016,37,22
2016,38,22
2016,39,24
2016,40,29
2016,41,14
2016,42,18
2016,43,32
2016,44,12
2016,45,25
2016,46,52
2016,47,22
2016,48,32
2016,49,35
2016,50,21
2016,51,13
2016,52,10
2017,1,19
2017,2,115
2017,3,31
2017,4,101
2017,5,30
2017,6,24
2017,7,22
2017,8,13
2017,9,21
2017,10,22
2017,11,8
2017,12,11
2017,13,12
2017,14,26
2017,15,10
2017,16,21
2017,17,20
2017,18,39
2017,19,44
2017,20,12
2017,21,22
2017,22,16
2017,23,7
2017,24,21
2017,25,12
2017,26,30
2017,27,25
2017,28,29
2017,29,46
2017,30,27
2017,31,49
2017,32,37
2017,33,21
2017,34,24
2017,35,41
2017,36,19
2017,37,13
2017,38,10
2017,39,24
2017,40,16
2017,41,32
2017,42,41
2017,43,28
2017,44,25
2017,45,19
2017,46,17
2017,47,29
2017,48,27
2017,49,16
2017,50,29
2017,51,6
2017,52,12
2017,53,5
2018,0,8
2018,1,36
2018,2,34
2018,3,17
2018,4,17
2018,5,12
2018,6,35
2018,7,13
2018,8,20
2018,9,20
2018,10,15
2018,11,33
2018,12,20
2018,13,18
2018,14,12
2018,15,10
2018,16,14
2018,17,18
2018,18,29
2018,19,20
2018,20,18
2018,21,20
2018,22,16
2018,23,27
2018,24,28
2018,25,11
2018,26,16
2018,27,12
2018,28,14
2018,29,24
2018,30,18
2018,31,13
2018,32,42
2018,33,30
2018,34,31
2018,35,24
2018,36,20
2018,37,23
2018,38,14
2018,39,38
2018,40,10
2018,41,24
2018,42,20
2018,43,21
2018,44,173
2018,45,35
2018,46,41
2018,47,243
2018,48,125
2018,49,130
2018,50,181
2018,51,40
2018,52,8
2019,0,28
2019,1,23
2019,2,36
2019,3,39
2019,4,22
2019,5,27
2019,6,24
2019,7,26
2019,8,39
2019,9,29
2019,10,63
2019,11,52
2019,12,14
2019,13,21
2019,14,35
2019,15,30
2019,16,42
2019,17,32
2019,18,18
2019,19,29
2019,20,19
2019,21,28
2019,22,39
2019,23,10
2019,24,666
2019,25,103
2019,26,49
2019,27,81
2019,28,37
2019,29,114
2019,30,43
2019,31,49
2019,32,89
2019,33,40
2019,34,43
2019,35,37
2019,36,60
2019,37,47
2019,38,29
2019,39,23
2019,40,60
2019,41,55
2019,42,11
2019,43,35
2019,44,19
2019,45,22
2019,46,69
2019,47,26
2019,48,32
2019,49,21
2019,50,32
2019,51,12
2019,52,8
2020,0,10
2020,1,28
2020,2,28
2020,3,100
2020,4,66
2020,5,31
2020,6,28
2020,7,44
2020,8,28
2020,9,34
2020,10,30
2020,11,21
2020,12,27
2020,13,22
2020,14,24
2020,15,22
2020,16,18
2020,17,15
2020,18,20
2020,19,29
2020,20,17
2020,21,45
2020,22,23
2020,23,28
2020,24,13
2020,25,27
2020,26,24
2020,27,24
2020,28,20
2020,29,14
2020,30,21
2020,31,30
2020,32,24
2020,33,12
2020,34,28
2020,35,31
2020,36,13
2020,37,25
2020,38,19
2020,39,12
2020,40,35
2020,41,22
2020,42,25
2020,43,40
2020,44,39
2020,45,42
2020,46,40
2020,47,34
2020,48,33
2020,49,25
2020,50,26
2020,51,38
2020,52,29
2021,0,6
2021,1,23
2021,2,22
2021,3,32
2021,4,31
2021,5,25
2021,6,23
2021,7,35
2021,8,18
2021,9,24
2021,10,43
2021,11,37
2021,12,30
2021,13,19
2021,14,27
2021,15,33
2021,16,41
2021,17,36
2021,18,38
2021,19,22
2021,20,24
2021,21,23
2021,22,34
2021,23,33
2021,24,46
2021,25,19
2021,26,23
2021,27,34
2021,28,44
2021,29,24
2021,30,19
2021,31,31
2021,32,23
2021,33,46
2021,34,39
2021,35,34
2021,36,27
2021,37,31
2021,38,40
2021,39,59
2021,40,35
2021,41,28
2021,42,31
2021,43,37
2021,44,38
2021,45,40
2021,46,39
2021,47,55
2021,48,38
2021,49,23
2021,50,36
2021,51,18
2021,52,115
2022,0,5
2022,1,37
2022,2,43
2022,3,52
