Year,week,Tweet
2013,0,149
2013,1,287
2013,2,203
2013,3,158
2013,4,163
2013,5,151
2013,6,136
2013,7,164
2013,8,210
2013,9,268
2013,10,248
2013,11,217
2013,12,124
2013,13,119
2013,14,157
2013,15,121
2013,16,110
2013,17,143
2013,18,106
2013,19,137
2013,20,153
2013,21,445
2013,22,495
2013,23,423
2013,24,180
2013,25,121
2013,26,117
2013,27,95
2013,28,145
2013,29,68
2013,30,101
2013,31,93
2013,32,71
2013,33,199
2013,34,331
2013,35,351
2013,36,186
2013,37,235
2013,38,101
2013,39,143
2013,40,127
2013,41,148
2013,42,103
2013,43,54
2013,44,115
2013,45,122
2013,46,109
2013,47,73
2013,48,727
2013,49,259
2013,50,77
2013,51,89
2013,52,41
2014,0,42
2014,1,128
2014,2,123
2014,3,227
2014,4,133
2014,5,122
2014,6,53
2014,7,84
2014,8,55
2014,9,82
2014,10,93
2014,11,77
2014,12,79
2014,13,44
2014,14,48
2014,15,153
2014,16,219
2014,17,147
2014,18,112
2014,19,46
2014,20,103
2014,21,100
2014,22,190
2014,23,46
2014,24,52
2014,25,144
2014,26,72
2014,27,96
2014,28,59
2014,29,34
2014,30,70
2014,31,70
2014,32,82
2014,33,37
2014,34,57
2014,35,40
2014,36,49
2014,37,58
2014,38,52
2014,39,138
2014,40,41
2014,41,83
2014,42,809
2014,43,219
2014,44,244
2014,45,65
2014,46,63
2014,47,35
2014,48,47
2014,49,41
2014,50,390
2014,51,53
2014,52,58
2015,0,101
2015,1,93
2015,2,124
2015,3,270
2015,4,59
2015,5,50
2015,6,42
2015,7,59
2015,8,516
2015,9,84
2015,10,162
2015,11,130
2015,12,42
2015,13,93
2015,14,74
2015,15,84
2015,16,78
2015,17,41
2015,18,35
2015,19,163
2015,20,170
2015,21,130
2015,22,161
2015,23,195
2015,24,142
2015,25,104
2015,26,76
2015,27,39
2015,28,192
2015,29,62
2015,30,100
2015,31,38
2015,32,52
2015,33,66
2015,34,114
2015,35,126
2015,36,62
2015,37,59
2015,38,63
2015,39,188
2015,40,149
2015,41,193
2015,42,138
2015,43,51
2015,44,92
2015,45,72
2015,46,109
2015,47,80
2015,48,55
2015,49,44
2015,50,55
2015,51,21
2015,52,34
2016,0,5
2016,1,86
2016,2,78
2016,3,51
2016,4,57
2016,5,49
2016,6,68
2016,7,66
2016,8,46
2016,9,69
2016,10,29
2016,11,40
2016,12,33
2016,13,34
2016,14,86
2016,15,114
2016,16,149
2016,17,123
2016,18,156
2016,19,47
2016,20,117
2016,21,48
2016,22,91
2016,23,114
2016,24,64
2016,25,50
2016,26,139
2016,27,63
2016,28,30
2016,29,51
2016,30,39
2016,31,77
2016,32,93
2016,33,39
2016,34,44
2016,35,88
2016,36,41
2016,37,43
2016,38,36
2016,39,43
2016,40,67
2016,41,40
2016,42,271
2016,43,38
2016,44,39
2016,45,35
2016,46,39
2016,47,40
2016,48,52
2016,49,58
2016,50,39
2016,51,51
2016,52,23
2017,1,58
2017,2,39
2017,3,59
2017,4,49
2017,5,64
2017,6,72
2017,7,65
2017,8,64
