year,week,score
2022,1,50
2022,2,34
2022,3,25
2022,4,36
2022,5,35
2022,6,31
2022,7,37
2022,8,41
2022,9,40
2022,10,53
2022,11,51
2022,12,44
2022,13,50
2022,14,50
2022,15,65
2022,16,60
2022,17,100
2022,18,54
2022,19,47
2022,20,51
2022,21,72
2022,22,73
2022,23,79
2022,24,53
2022,25,52
2022,26,65
2022,27,77
2022,28,72
2022,29,61
2022,30,62
2022,31,64
2022,32,54
2022,33,70
2022,34,73
2022,35,76
2022,36,56
2022,37,48
2022,38,37
2022,39,41
2022,40,41
2022,41,43
2022,42,86
2022,43,76
2022,44,59
2022,45,51
2022,46,42
2022,47,57
2022,48,44
2022,49,30
2022,50,36
2022,51,32
2022,52,52
