year,week,score
2022,1,82
2022,2,64
2022,3,55
2022,4,73
2022,5,80
2022,6,78
2022,7,78
2022,8,76
2022,9,72
2022,10,87
2022,11,75
2022,12,66
2022,13,72
2022,14,77
2022,15,77
2022,16,79
2022,17,100
2022,18,80
2022,19,78
2022,20,74
2022,21,74
2022,22,58
2022,23,80
2022,24,69
2022,25,78
2022,26,68
2022,27,70
2022,28,74
2022,29,64
2022,30,79
2022,31,73
2022,32,64
2022,33,72
2022,34,64
2022,35,78
2022,36,74
2022,37,72
2022,38,100
2022,39,75
2022,40,82
2022,41,63
2022,42,75
2022,43,87
2022,44,69
2022,45,61
2022,46,67
2022,47,59
2022,48,91
2022,49,99
2022,50,73
2022,51,89
2022,52,89
