,ecli,drug,relevant_countries,volume,volume_type,general_volume_type,general_volume,countries_present,verdict_date,general_drug_type,semi_general_drug_type
0,ECLI:NL:OGHACMB:2020:78,cocaïne,['Curaçao'],N/A,N/A,undefined,0,{'Curaçao': ['Curaçao']},2020-12-03,harddrugs,cocaine
1,ECLI:NL:OGHACMB:2020:78,hennep,['Curaçao'],N/A,N/A,undefined,0,{'Curaçao': ['Curaçao']},2020-12-03,softdrugs,cannabis
2,ECLI:NL:OGHACMB:2020:82,cocaïne,['Curaçao'],N/A,N/A,undefined,0,"{'Curaçao': ['Curaçao', 'Klein Curaçao', 'Curacao']}",2020-12-03,harddrugs,cocaine
3,ECLI:NL:OGHACMB:2020:82,hennep,['Curaçao'],N/A,N/A,undefined,0,"{'Curaçao': ['Curaçao', 'Klein Curaçao', 'Curacao']}",2020-12-03,softdrugs,cannabis
4,ECLI:NL:OGEAC:2018:352,hennep,[],N/A,N/A,undefined,0,{'Curaçao': ['Curaçao']},2018-06-29,softdrugs,cannabis
5,ECLI:NL:OGEAC:2018:352,hashish,[],N/A,N/A,undefined,0,{'Curaçao': ['Curaçao']},2018-06-29,softdrugs,cannabis
6,ECLI:NL:OGEAC:2018:353,cocaïne,[],N/A,N/A,undefined,0,{'Curaçao': ['Curaçao']},2018-06-29,harddrugs,cocaine
7,ECLI:NL:OGHACMB:2017:257,cocaïne,[],N/A,N/A,undefined,0,"{'Aruba': ['Aruba Curaçao Sint Maarten', 'Aruba']}",2017-01-16,harddrugs,cocaine
8,ECLI:NL:OGHACMB:2017:257,drugs,"['Aruba', 'Belgium']",1100,kilo,kg,1100,"{'Aruba': ['Aruba Curaçao Sint Maarten', 'Aruba']}",2017-01-16,unspecified,unspecified
9,ECLI:NL:OGEAC:2018:354,hennep,[],N/A,N/A,undefined,0,{'Curaçao': ['Curaçao']},2018-12-19,softdrugs,cannabis
10,ECLI:NL:OGEAC:2018:354,hashish,[],N/A,N/A,undefined,0,{'Curaçao': ['Curaçao']},2018-12-19,softdrugs,cannabis
11,ECLI:NL:GHAMS:2018:2662,cocaïne,['Argentina'],900,gram,gr,900,{'Argentina': ['Argentinië']},2018-03-07,harddrugs,cocaine
