id,verdict_date,publication_date,verdict_type,jurisdiction_type,inhoudsindicatie,Instanties
ECLI-NL-RBNNE-2021-5018,01-10-2021,23-11-2021,uitspraak,['Strafrecht'],"Productie synthetische drugs, medeplegen, productie synthetische drugs, forse recidive.","Rechtbank Noord-Nederland, 01-10-2021, 18/048259-21"
ECLI-NL-RBZUT-2003-AH9598,03-06-2003,09-07-2003,uitspraak,['Strafrecht'],Leveren grondstoffen synthetische drugs en storten afvalstoffen synthetische drugs,"Rechtbank Zutphen, 03-06-2003, 06/080083-03"
ECLI-NL-RBZWB-2020-2646,23-06-2020,23-06-2020,uitspraak,['Strafrecht'],"plegen van voorbereidingshandelingen ten behoeve van de productie van synthetische drugs, productie van synthetische drugs, bezit van een hoeveelheid synthetische drugs en het lozen van drugsafval","Rechtbank Zeeland-West-Brabant, 23-06-2020, 02/255686-19"
ECLI-NL-GHAMS-2019-1601,08-05-2019,26-07-2019,uitspraak,['Strafrecht'],medeplegen witwassen - medeplegen voorhanden hebben drugs - beschikkingsmacht over in woning aangetroffen drugs,"Gerechtshof Amsterdam, 08-05-2019, 23-001795-17"
ECLI-NL-GHAMS-2019-1602,08-05-2019,26-07-2019,uitspraak,['Strafrecht'],medeplegen witwassen - medeplegen voorhanden hebben drugs - beschikkingsmacht over in woning aangetroffen drugs,"Gerechtshof Amsterdam, 08-05-2019, 23-001762-17"
ECLI-NL-RBAMS-2021-1756,13-04-2021,26-04-2021,uitspraak,['Civiel recht'],ontbinding ernstig verwijtbaar gedrag. Onder invloed drugs. trambestuurder GVB. risicovol gedrag. onoplettendheid. gebruik drugs in privé tijd.,"Rechtbank Amsterdam, 13-04-2021, 9030252"
ECLI-NL-RBNNE-2021-5026,01-10-2021,24-11-2021,uitspraak,['Strafrecht'],"Productie synthetische drugs, medeplegen, productie synthetische drugs, first offender.

Zie ook herstelvonnis: ECLI:NL:RBNNE:2021:5027.","Rechtbank Noord-Nederland, 01-10-2021, 18/048258-21"
ECLI-NL-RBMNE-2021-4252,01-09-2021,05-10-2021,uitspraak,['Civiel recht; Verbintenissenrecht'],"Huurrecht. Vordering tot ontbinding en ontruiming i.v.m. aanwezigheid drugs in gehuurde. Geen tekortkoming huurster zelf omdat drugs van haar zoons waren, en niet is gebleken dat huurster met aanwezigheid drugs bekend was of daarmee rekening moest houden.","Rechtbank Midden-Nederland, 01-09-2021, 9068474"
ECLI-NL-RBAMS-2019-4296,28-05-2019,01-07-2019,uitspraak,['Strafrecht'],Vrijspraak medepolegen handel in drugs. Aansluiting ECLI:NL:GHAMS:2012:BZ0303. Niet is vast te stellen dat de telefoongesprekken gaan over drugs. Vrijspraak voorhanden hebben. Geen wetenschap van aanwezigheid van drugs. Veroordelihng art. 10a OW,"Rechtbank Amsterdam, 28-05-2019, 13-654015-19"
ECLI-NL-RBNHO-2022-6623,26-07-2022,28-07-2022,uitspraak,['Strafrecht'],Medeplegen handel in drugs en het voorhanden hebben van drugs. Voorwaardelijke gevangenisstraf van 1 maand en een taakstraf van 120 uren.,"Rechtbank Noord-Holland, 26-07-2022, 15/236911-21 (P)"
ECLI-NL-GHAMS-2020-4100,11-12-2020,27-02-2022,uitspraak,['Strafrecht'],drugs,"Gerechtshof Amsterdam, 11-12-2020, 23-003663-19"
ECLI-NL-GHAMS-2020-4069,21-07-2020,27-02-2022,uitspraak,['Strafrecht'],drugs,"Gerechtshof Amsterdam, 21-07-2020, 23-000537-19"
ECLI-NL-RBAMS-2017-9452,19-12-2017,21-12-2017,uitspraak,['Strafrecht'],drugs,"Rechtbank Amsterdam, 19-12-2017, 13/654143-17"
ECLI-NL-GHAMS-2022-1674,02-06-2022,03-06-2022,uitspraak,['Strafrecht'],"Vrijspraak aanwezig hebben drugs en voorhanden hebben geld, nu DNA-spoor op elastiek geen bewijs oplevert voor het voorhanden hebben van drugs of geld","Gerechtshof Amsterdam, 02-06-2022, 23-001654-21"
ECLI-NL-RBROT-2019-4922,21-06-2019,12-07-2019,uitspraak,['Civiel recht'],kort geding; artikel 7:231 lid 2 BW; sluiting woning Burgemeester wegens drugs; ontruiming toegewezen; naast aanwezigheid van drugs ook drugsgerelateerde overlast en drugshandel aannemelijk,"Rechtbank Rotterdam, 21-06-2019, 7765287 VV EXPL 19-230"
ECLI-NL-OGHACMB-2020-78,12-03-2020,28-04-2020,uitspraak,['Strafrecht'],"drugs, bevestiging","Gemeenschappelijk Hof van Justitie van Aruba, Curaçao, Sint Maarten en van Bonaire, Sint Eustatius en Saba, 12-03-2020, 500.00094/19  H136/19"
ECLI-NL-OGHACMB-2020-82,12-03-2020,28-04-2020,uitspraak,['Strafrecht'],"drugs, bevestiging","Gemeenschappelijk Hof van Justitie van Aruba, Curaçao, Sint Maarten en van Bonaire, Sint Eustatius en Saba, 12-03-2020, 500.00093/19  H 135/2019"
ECLI-NL-OGEAC-2018-352,29-06-2018,14-08-2019,uitspraak,['Strafrecht'],"Vuurwapen, drugs","Gerecht in eerste aanleg van Curaçao, 29-06-2018, 500.00072/18"
ECLI-NL-OGEAC-2018-353,29-06-2018,14-08-2019,uitspraak,['Strafrecht'],"Vuurwapen, drugs","Gerecht in eerste aanleg van Curaçao, 29-06-2018, 500.00073/18"
ECLI-NL-OGHACMB-2017-257,16-01-2017,28-04-2020,uitspraak,['Strafrecht'],Drugs AUA,"Gemeenschappelijk Hof van Justitie van Aruba, Curaçao, Sint Maarten en van Bonaire, Sint Eustatius en Saba, 16-01-2017, P-2016/02150  H113/16"
ECLI-NL-HR-2007-BA1113,07-12-2007,07-12-2007,uitspraak,['Bestuursrecht; Belastingrecht'],"Art. 8a, lid 1, letter c en art. 36a, lid 1, letter m, Wet IB '64: Handel in drugs; veroordeling wegens transport van drugs.","Hoge Raad, 07-12-2007, 43036"
ECLI-NL-PHR-2007-BA1113,07-12-2007,07-12-2007,uitspraak,['Bestuursrecht; Belastingrecht'],"Art. 8a, lid 1, letter c en art. 36a, lid 1, letter m, Wet IB '64: Handel in drugs; veroordeling wegens transport van drugs.","Parket bij de Hoge Raad, 07-12-2007, 43036"
ECLI-NL-RBAMS-2019-7573,10-10-2019,18-10-2019,uitspraak,['Strafrecht'],"Verdachte heeft bijna 9 maanden lang in drugs gedeald en heeft, nadat de rechter-commissaris de bewaring had afgewezen, ook nog (ten minste) twee keer drugs gedeald.","Rechtbank Amsterdam, 10-10-2019, 13/650388-18 (A), 13/081138-19 (B) en 13/130398-19 (C)"
ECLI-NL-RBDHA-2019-9384,27-06-2019,10-09-2019,uitspraak,['Strafrecht'],"Jeugdstrafrecht. Zeven feiten. Tweemaal eendaadse samenloop van handelen in drugs en voorbereidingshandelingen daartoe. Handelen in drugs. Wederspannigheid. 
Herstelvonnis in verband met onjuiste vermelding eis officier van justitie.","Rechtbank Den Haag, 27-06-2019, 09/777067-18, 09/817096-19 (herstel)"
ECLI-NL-OGEAC-2022-250,25-05-2022,12-09-2022,uitspraak,['Strafrecht'],Vrijspraak invoer drugs.,"Gerecht in eerste aanleg van Curaçao, 25-05-2022, 500.00239/21"
ECLI-NL-OGEAC-2022-252,25-05-2022,13-09-2022,uitspraak,['Strafrecht'],Vrijspraak invoer drugs.,"Gerecht in eerste aanleg van Curaçao, 25-05-2022, 500.00238/21"
ECLI-NL-OGEAC-2022-253,25-05-2022,13-09-2022,uitspraak,['Strafrecht'],Vrijspraak invoer drugs.,"Gerecht in eerste aanleg van Curaçao, 25-05-2022, 500.00237/21"
ECLI-NL-OGEAC-2018-354,19-12-2018,14-08-2019,uitspraak,['Strafrecht'],vrijspraak politieman drugs,"Gerecht in eerste aanleg van Curaçao, 19-12-2018, 500.00221/18"
ECLI-NL-OGEABES-2018-48,26-07-2018,25-07-2019,uitspraak,['Strafrecht'],"drugs, vwp) def","Gerecht in eerste aanleg van Bonaire, Sint Eustatius en Saba, 26-07-2018, 400.00082/18"
ECLI-NL-GHAMS-2018-2662,03-07-2018,30-07-2018,uitspraak,['Strafrecht'],Profijtontneming. Invoer drugs.,"Gerechtshof Amsterdam, 03-07-2018, 23-001594-17"
ECLI-NL-OGHACMB-2018-276,05-02-2018,06-06-2019,uitspraak,['Strafrecht'],bev drugs aua,"Gemeenschappelijk Hof van Justitie van Aruba, Curaçao, Sint Maarten en van Bonaire, Sint Eustatius en Saba, 05-02-2018, P-2016/11524 H 91/17"
ECLI-NL-OGHACMB-2018-269,05-02-2018,12-03-2019,uitspraak,['Strafrecht'],drugs onrm huisz,"Gemeenschappelijk Hof van Justitie van Aruba, Curaçao, Sint Maarten en van Bonaire, Sint Eustatius en Saba, 05-02-2018, P-2017/01926  H-130/2017"
ECLI-NL-RBAMS-2017-9087,08-12-2017,12-12-2017,uitspraak,['Strafrecht'],"criminele organisatie, drugs","Rechtbank Amsterdam, 08-12-2017, 13/730029-14"
ECLI-NL-RBAMS-2017-9085,08-12-2017,15-12-2017,uitspraak,['Strafrecht'],"criminele organsiatie, drugs","Rechtbank Amsterdam, 08-12-2017, 13/730027-14"
ECLI-NL-RBAMS-2017-9086,08-12-2017,15-12-2017,uitspraak,['Strafrecht'],"Criminele organisatie, drugs","Rechtbank Amsterdam, 08-12-2017, 13/730028-14"
ECLI-NL-RBAMS-2017-9088,08-12-2017,15-12-2017,uitspraak,['Strafrecht'],"criminele organisatie, drugs","Rechtbank Amsterdam, 08-12-2017, 13/730030-14"
ECLI-NL-RBAMS-2017-9089,08-12-2017,15-12-2017,uitspraak,['Strafrecht'],"criminele organisatie, drugs","Rechtbank Amsterdam, 08-12-2017, 13/730047-14"
ECLI-NL-RBAMS-2017-9090,08-12-2017,15-12-2017,uitspraak,['Strafrecht'],"criminele organisatie, drugs","Rechtbank Amsterdam, 08-12-2017, 13/730048-14"
ECLI-NL-RBAMS-2017-9091,08-12-2017,15-12-2017,uitspraak,['Strafrecht'],"Criminele organisatie, drugs","Rechtbank Amsterdam, 08-12-2017, 13/730049-14 (A) en 13/731012-15 (B)"
ECLI-NL-RBAMS-2017-9092,08-12-2017,15-12-2017,uitspraak,['Strafrecht'],"Criminele organisatie, drugs","Rechtbank Amsterdam, 08-12-2017, 13/730010-15"
ECLI-NL-RBMNE-2014-7289,29-04-2014,20-01-2015,uitspraak,['Strafrecht; Materieel strafrecht'],Handel in drugs.,"Rechtbank Midden-Nederland, 29-04-2014, 16-659214-13"
ECLI-NL-RBZLY-2012-BW3231,05-04-2012,18-04-2012,uitspraak,['Strafrecht'],"drugs dealen, promis","Rechtbank Zwolle-Lelystad, 05-04-2012, 07-663590-11"
ECLI-NL-RBUTR-2008-BG6691,19-09-2008,12-12-2008,uitspraak,['Strafrecht'],Handel in drugs.,"Rechtbank Utrecht, 19-09-2008, 16/710796-08"
ECLI-NL-RBROT-2017-10355,12-07-2017,19-01-2018,uitspraak,['Strafrecht'],"In vereniging bereiden van synthetische drugs op twee locaties, opzettelijk aanwezig hebben van synthetische drugs, en voorbereidingshandelingen voor de bereiding daarvan. 4 jaar gevangenisstraf. Verdachte in hoger beroep.","Rechtbank Rotterdam, 12-07-2017, 10/750457-16"
ECLI-NL-RBAMS-2016-6938,27-10-2016,30-12-2016,uitspraak,['Bestuursrecht'],"Vovo hangende bezwaar afgewezen. Verplichting onderzoek rijgeschiktheid en schorsing rijbewijs. Vermoeden rijden onder invloed van drugs. Gedragingen niet betwist, wel dat drugs de oorzaak waren. Vermoeden was gerechtvaardigd.","Rechtbank Amsterdam, 27-10-2016, AWB - 16 _ 6125"
ECLI-NL-RBGEL-2013-BZ7302,16-04-2013,16-04-2013,uitspraak,['Civiel recht'],Niet gebonden aan een absoluut verbod gebruik (soft)drugs en niet aannemelijk binnen opleidingstijd gebruik (soft)drugs derhalve niet op basis van enkel uitslag urinetest tot schorsing overgaan. Eiser op geen enkele manier te kennen gegeven gebruik (soft)drugs in eigen vrije tijd onaanvaardbaar. Wel aanleiding voor periodiek testen gedurende vervolg van de opleiding.,"Rechtbank Gelderland, 16-04-2013, C-06-137214 - KG ZA 13-76"
ECLI-NL-GHARL-2014-3990,16-05-2014,16-05-2014,uitspraak,['Strafrecht'],Aan verdachte wordt terzake van de verkoop van (hard)drugs en het voorhanden hebben van drugs en wapens en munitie een gevangenisstraf voor de duur van 18 maanden opgelegd.,"Gerechtshof Arnhem-Leeuwarden, 16-05-2014, KS 21-009304-13"
ECLI-NL-RBMNE-2022-1409,24-03-2022,30-05-2022,uitspraak,['Strafrecht'],veroordeling bezit synth drugs,"Rechtbank Midden-Nederland, 24-03-2022, 16-320192-20"
ECLI-NL-RBAMS-2021-571,17-02-2021,25-02-2021,uitspraak,['Strafrecht'],ontneming na dealen drugs,"Rechtbank Amsterdam, 17-02-2021, 13/650388-18 (ontneming)"
ECLI-NL-GHAMS-2019-2802,06-06-2019,14-08-2019,uitspraak,['Strafrecht'],Aanwezig hebben verschillende drugs.,"Gerechtshof Amsterdam, 06-06-2019, 23-004377-18"
ECLI-NL-OGHACMB-2019-157,31-01-2019,15-08-2019,uitspraak,['Strafrecht'],"dodelijk verkeersongeval, wapens, drugs","Gemeenschappelijk Hof van Justitie van Aruba, Curaçao, Sint Maarten en van Bonaire, Sint Eustatius en Saba, 31-01-2019, 500.00383/17 H 145/2018"
