ecli,drug,relevant_countries
ECLI:NL:RBZUT:2003:AH9598,drugs,[' Netherlands']
ECLI:NL:PHR:2007:BA1113,drugs,"['Netherlands', 'Morocco']"
ECLI:NL:GHAMS:2018:2662,cocaïne,['Argentina']
ECLI:NL:RBAMS:2017:9087,cocaïne,[' Netherlands']
ECLI:NL:RBAMS:2017:9085,cocaïne,[' Netherlands']
ECLI:NL:RBAMS:2017:9088,cocaïne,[' Netherlands']
ECLI:NL:RBAMS:2017:9089,cocaïne,[' Netherlands']
ECLI:NL:RBAMS:2017:9091,cocaïne,[' Netherlands']
ECLI:NL:RBAMS:2017:9092,cocaïne,[' Netherlands']
ECLI:NL:OGHACMB:2018:277,cocaïne,['Jamaica']
ECLI:NL:RBMNE:2013:BZ4568,amfetamine,[' Netherlands']
ECLI:NL:RBMNE:2013:BZ4568,bmk,[' Netherlands']
ECLI:NL:RBROT:2014:9162,heroïne,"['Netherlands', 'France', 'Belgium']"
ECLI:NL:RBROT:2014:9162,cocaïne,"['Netherlands', 'France', 'Belgium']"
ECLI:NL:CRVB:2004:AO7398,drugs,[' Netherlands']
ECLI:NL:RBMAA:2010:BM8942,wiet,['Germany']
ECLI:NL:RBMAA:2010:BM8942,amfetamine,"['Germany', ' Germany', ' Netherlands']"
ECLI:NL:RBMAA:2010:BM8942,methanol,[' Netherlands']
ECLI:NL:RBMAA:2010:BM8944,wiet,['Germany']
ECLI:NL:RBMAA:2010:BM8944,amfetamine,"['Germany', ' Netherlands']"
ECLI:NL:RBMAA:2010:BM8944,methanol,[' Netherlands']
ECLI:NL:RBMAA:2010:BM8946,amfetamine,"[' Germany', 'Germany', ' Netherlands']"
ECLI:NL:RBMAA:2010:BM8946,methanol,[' Netherlands']
ECLI:NL:GHSHE:2009:BH0702,drugs,[' Netherlands']
ECLI:NL:OGHNAA:2010:BM7471,cocaïne,[' Netherlands']
ECLI:NL:RBOBR:2018:1667,mdma,[' Netherlands']
ECLI:NL:RBOBR:2018:1667,amfetamine,[' Netherlands']
ECLI:NL:RBROT:2019:8229,amfetamine,[' Netherlands']
ECLI:NL:RBROT:2019:8229,hennep,[' Netherlands']
ECLI:NL:RBROT:2019:8229,hasjiesj,[' Netherlands']
ECLI:NL:CRVB:2004:AR3605,drugs,[' United States']
ECLI:NL:RBBRE:2005:AS5631,drugs,[' Netherlands']
ECLI:NL:RBBRE:2005:AS5640,xtc-pillen,[' Netherlands']
ECLI:NL:RBASS:2002:AF1854,mdma,"[' Netherlands', ' Germany', ' United Kingdom']"
ECLI:NL:RBASS:2002:AF1854,amfetamine,"[' Netherlands', ' Germany', ' United Kingdom']"
ECLI:NL:RBROT:2021:1234,drugs,[' Netherlands']
ECLI:NL:GHSGR:2004:AO7896,drugs,"[' Italy', ' Netherlands']"
ECLI:NL:RBZWB:2019:2735,drugs,[' Netherlands']
ECLI:NL:RBZWB:2019:2735,amfetamine,[' Netherlands']
ECLI:NL:RBZWB:2019:2735,crystal,[' Netherlands']
ECLI:NL:RBZWB:2019:2735,apaa,[' Netherlands']
ECLI:NL:RBZWB:2019:2735,harddrugs,[' Netherlands']
ECLI:NL:RBZWB:2019:2735,xtc,[' Netherlands']
ECLI:NL:RBZWB:2019:2735,pillen,[' Netherlands']
ECLI:NL:RBZWB:2019:2735,mdma,[' Netherlands']
ECLI:NL:RBZWB:2019:2735,amfetaminepasta,[' Netherlands']
ECLI:NL:RBNNE:2017:1462,drugs,"[' Netherlands', 'Netherlands']"
ECLI:NL:RBROE:2012:BW8261,drugs,[' Netherlands']
ECLI:NL:RBROE:2012:BW8261,cocaïne,[' Netherlands']
ECLI:NL:GHSHE:2012:BW7042,harddrugs,"['Netherlands', ' Belgium', ' Netherlands', ' Sweden', ' Turkey', ' United States', ' Kyrgyzstan', ' Norway', 'Belgium']"
